datasetid, period, variables, description, unit
cmems_mod_glo_phy-cur_anfc_0.083deg_PT6H-i, sixhour, uo+vo, water velocity, m/s+m/s
cmems_mod_glo_phy-cur_anfc_0.083deg_P1D-m, day, uo+vo, water velocity, m/s+m/s
cmems_mod_glo_phy-cur_anfc_0.083deg_P1M-m, month, uo+vo, water velocity, m/s+m/s
cmems_mod_glo_phy-so_anfc_0.083deg_PT6H-i, sixhour, so, sea water salinity, per mil
cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m, day, so, sea water salinity, per mil
cmems_mod_glo_phy-so_anfc_0.083deg_P1M-m, month, so, sea water salinity, per mil
cmems_mod_glo_phy-thetao_anfc_0.083deg_PT6H-i, sixhour, thetao, sea water potential temperature, C
cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m, day, thetao, sea water potential temperature, C
cmems_mod_glo_phy-thetao_anfc_0.083deg_P1M-m, month, thetao, sea water potential temperature, C
cmems_mod_glo_phy-wcur_anfc_0.083deg_PT6H-i, sixhour, wo, upward current velocity, m/s
cmems_mod_glo_phy-wcur_anfc_0.083deg_P1D-m, day, wo, upward current velocity, m/s
cmems_mod_glo_phy-wcur_anfc_0.083deg_P1M-m, month, wo, upward current velocity, m/s
cmems_mod_glo_phy_anfc_0.083deg_P1D-m, day, ist+mlotst+pbo+siage+sialb+siconc+sisnthick+sithick+sivelo+sob+tob+usi+vsi+zos, various, C+m+dbar+years+%++m++m/s+per mil+C+m/s+m/s+m
cmems_mod_glo_phy_anfc_0.083deg_P1M-m, day, ist+mlotst+pbo+siage+sialb+siconc+sisnthick+sithick+sivelo+sob+tob+usi+vsi+zos, various, C+m+dbar+years+%++m++m/s+per mil+C+m/s+m/s+m
cmems_mod_glo_phy_anfc_merged-uv_PT1H-i, onehour, uo+utide+utotal+vo+vsdx+vsdy+vtide+vtotal, various,m/s+m/s+m/s+m/s+m/s+m/s+m/s+m/s
